Date,Index_Value
10-Jun-22,1000.00
13-Jun-22,972.31
14-Jun-22,972.66
15-Jun-22,970.44
16-Jun-22,948.13
17-Jun-22,943.36
20-Jun-22,942.79
21-Jun-22,962.26
22-Jun-22,949.64
23-Jun-22,959.83
24-Jun-22,968.71
27-Jun-22,976.77
28-Jun-22,978.03
29-Jun-22,971.92
30-Jun-22,972.07
01-Jul-22,974.72
04-Jul-22,981.23
05-Jul-22,977.69
06-Jul-22,990.47
07-Jul-22,1000.72
08-Jul-22,1007.53
11-Jul-22,1007.03
12-Jul-22,998.49
13-Jul-22,995.61
18-Jul-22,1014.97
19-Jul-22,1018.08
20-Jul-22,1025.32
21-Jul-22,1030.68
22-Jul-22,1038.45
25-Jul-22,1033.67
26-Jul-22,1024.56
27-Jul-22,1033.76
28-Jul-22,1045.44
29-Jul-22,1065.28
01-Aug-22,1076.72
02-Aug-22,1075.78
03-Aug-22,1074.91
04-Aug-22,1075.04
05-Aug-22,1076.20
08-Aug-22,1083.91
10-Aug-22,1085.04
11-Aug-22,1091.25
12-Aug-22,1091.77
16-Aug-22,1102.76
17-Aug-22,1106.77
18-Aug-22,1107.61
19-Aug-22,1091.15
22-Aug-22,1073.37
23-Aug-22,1080.63
24-Aug-22,1081.59
25-Aug-22,1078.53
26-Aug-22,1086.28
29-Aug-22,1068.78
30-Aug-22,1095.39
01-Sep-22,1082.35
02-Sep-22,1080.81
05-Sep-22,1089.32
06-Sep-22,1090.36
07-Sep-22,1090.63
08-Sep-22,1098.93
09-Sep-22,1100.36
12-Sep-22,1109.30
13-Sep-22,1116.23
14-Sep-22,1113.16
15-Sep-22,1106.37
16-Sep-22,1081.36
19-Sep-22,1086.57
20-Sep-22,1100.46
21-Sep-22,1092.90
22-Sep-22,1090.16
23-Sep-22,1070.03
26-Sep-22,1046.69
27-Sep-22,1045.14
28-Sep-22,1035.24
29-Sep-22,1036.52
30-Sep-22,1054.89
03-Oct-22,1039.53
04-Oct-22,1063.92
06-Oct-22,1065.91
07-Oct-22,1062.42
10-Oct-22,1055.51
11-Oct-22,1039.31
12-Oct-22,1051.05
13-Oct-22,1044.35
14-Oct-22,1052.93
17-Oct-22,1059.43
18-Oct-22,1072.26
19-Oct-22,1074.58
20-Oct-22,1076.41
21-Oct-22,1078.36
24-Oct-22,1085.82
25-Oct-22,1085.99
27-Oct-22,1094.32
28-Oct-22,1096.74
31-Oct-22,1111.66
01-Nov-22,1119.35
02-Nov-22,1115.69
03-Nov-22,1114.14
04-Nov-22,1117.18
07-Nov-22,1123.09
09-Nov-22,1121.25
10-Nov-22,1113.10
11-Nov-22,1129.52
14-Nov-22,1128.83
15-Nov-22,1133.62
16-Nov-22,1130.01
17-Nov-22,1124.67
18-Nov-22,1120.92
21-Nov-22,1109.84
22-Nov-22,1114.93
23-Nov-22,1116.77
24-Nov-22,1126.91
25-Nov-22,1138.38
28-Nov-22,1140.79
29-Nov-22,1143.66
30-Nov-22,1152.76
01-Dec-22,1159.37
02-Dec-22,1154.17
05-Dec-22,1153.52
06-Dec-22,1150.43
07-Dec-22,1145.59
08-Dec-22,1150.64
09-Dec-22,1144.01
12-Dec-22,1144.75
